name,Nombre_liga,Equipo,Pais,Edad,Posicion,Altura,Peso,Partidos_completos,Medio_tiempo,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,rating,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,shotsPerGame_y,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,passSuccess_y,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad
Lionel Messi,LaLiga,Barcelona,ar,32,Attacker,170,72,10,1,901,12,6,1,0,3.6,81.4,7,0.4,8.65,0.6,0.1,0.5,0.0,0.1,0.6,0.0,0,3.6,2.7,5.1,1.0,0.4,1.9,2.0,52.7,81.4,0.5,1.7,0.5
Luis Suárez,LaLiga,Barcelona,uy,32,Attacker,182,86,12,2,1014,9,3,3,0,3.0,73.6,0,0.4,7.49,0.2,0.0,0.8,0.0,0.5,0.4,0.1,0,3.0,0.9,1.0,0.7,0.6,0.7,0.9,23.3,73.6,0.1,1.2,0.0
Arthur,LaLiga,Barcelona,br,23,Defender,171,73,8,1,655,2,3,1,0,0.6,89.8,0,0.1,7.26,0.9,0.3,0.7,0.0,0.3,0.2,0.0,0,0.6,1.0,2.2,2.7,0.1,1.1,1.9,55.8,89.8,0.1,3.0,0.1
Antoine Griezmann,LaLiga,Barcelona,fr,28,Attacker,176,73,14,1,1217,6,4,2,0,2.0,80.0,1,0.9,7.22,1.1,0.5,0.6,0.0,0.8,0.8,0.1,0,2.0,0.8,0.6,0.5,0.6,0.5,1.5,36.1,80.0,0.1,1.2,0.1
Frenkie de Jong,LaLiga,Barcelona,nl,22,Defender,180,74,15,1,1262,1,2,1,0,0.1,92.9,2,0.5,7.12,1.4,0.9,0.9,0.0,0.4,0.6,0.4,0,0.1,1.1,1.9,1.1,0.1,0.9,1.0,59.2,92.9,0.1,2.4,0.1
Sergio Busquets,LaLiga,Barcelona,es,31,Defender,189,76,10,3,942,1,2,5,0,0.2,89.5,0,0.6,7.06,2.5,1.3,1.2,0.0,0.6,1.1,0.0,0,0.2,1.1,0.6,1.3,0.0,0.2,0.5,67.8,89.5,0.0,3.8,0.2
Samuel Umtiti,LaLiga,Barcelona,fr,26,Defender,182,75,3,1,277,0,0,1,0,0.0,88.6,0,2.0,7.0,0.8,1.3,1.8,0.3,5.3,0.5,0.0,0,0.0,0.0,1.0,1.0,0.3,0.0,0.3,41.5,88.6,0.0,1.5,0.0
Gerard Piqué,LaLiga,Barcelona,es,32,Defender,194,85,15,0,1343,1,0,8,0,0.5,90.1,1,3.4,6.96,0.9,0.9,1.0,0.6,4.3,0.2,0.9,0,0.5,0.3,0.2,0.5,0.0,0.2,0.4,71.2,90.1,0.0,4.7,0.0
Jordi Alba,LaLiga,Barcelona,es,30,Defender,170,68,7,0,602,1,0,1,0,0.3,89.1,0,0.1,6.93,1.3,1.3,0.7,0.0,1.0,0.3,0.1,0,0.3,1.3,0.9,0.4,0.3,0.1,0.6,77.1,89.1,0.4,2.6,0.0
Rafinha,LaLiga,Barcelona,br,26,Midfielder,174,71,2,1,187,0,0,0,0,2.0,90.0,0,0.0,6.93,1.0,0.3,1.0,0.0,0.0,0.3,0.0,0,2.0,1.7,1.3,4.0,0.0,1.7,2.0,50.0,90.0,1.0,2.3,0.0
Clément Lenglet,LaLiga,Barcelona,fr,24,Defender,186,81,13,0,1162,1,1,3,1,0.4,90.9,0,2.8,6.88,1.9,1.6,1.2,0.5,3.1,0.7,0.5,0,0.4,0.3,0.1,0.8,0.0,0.2,0.2,73.0,90.9,0.0,4.4,0.0
