name,Edad,Posicion,Altura,Peso,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad,Kmeans_Clusters
Lionel Messi,32,Attacker,170,72,901,12,6,1,0,3.6,81.4,7,0.4,0.6,0.1,0.5,0.0,0.1,0.6,0.0,0,2.7,5.1,1.0,0.4,1.9,2.0,52.7,0.5,1.7,0.5,1
Antoine Griezmann,28,Attacker,176,73,1217,6,4,2,0,2.0,80.0,1,0.9,1.1,0.5,0.6,0.0,0.8,0.8,0.1,0,0.8,0.6,0.5,0.6,0.5,1.5,36.1,0.1,1.2,0.1,3
Frenkie de Jong,22,Defender,180,74,1262,1,2,1,0,0.1,92.9,2,0.5,1.4,0.9,0.9,0.0,0.4,0.6,0.4,0,1.1,1.9,1.1,0.1,0.9,1.0,59.2,0.1,2.4,0.1,0
Gerard Piqué,32,Defender,194,85,1343,1,0,8,0,0.5,90.1,1,3.4,0.9,0.9,1.0,0.6,4.3,0.2,0.9,0,0.3,0.2,0.5,0.0,0.2,0.4,71.2,0.0,4.7,0.0,4
Marc-André ter Stegen,27,GoalKeeper,187,85,1440,0,2,0,0,0.0,86.7,0,0.6,0.1,0.1,0.0,0.0,0.9,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,27.3,0.0,5.9,0.1,2
Karim Benzema,31,Forward,185,81,1214,11,5,0,0,4.1,85.7,6,1.3,0.4,0.1,0.5,0.0,1.1,0.2,0.1,0,1.8,1.0,0.4,0.6,1.3,2.2,30.5,0.0,1.4,0.2,1
Casemiro,27,Defender,185,84,1320,1,1,5,0,1.1,84.5,0,3.3,3.7,2.3,2.3,0.1,1.6,1.9,0.2,0,0.3,0.6,1.9,0.1,0.5,0.6,58.7,0.2,6.0,0.1,0
Sergio Ramos,33,Defender,184,82,1320,3,0,3,0,1.1,91.1,0,2.3,1.4,1.5,1.4,0.6,3.5,0.5,0.1,0,0.1,0.1,0.7,0.1,0.1,0.3,62.3,0.0,5.7,0.0,4
Éver Banega,31,Midfielder,174,71,1250,1,5,4,0,1.5,85.9,2,0.7,1.1,0.3,0.8,0.0,0.2,1.5,0.0,0,1.9,1.9,1.9,0.0,1.3,1.3,68.7,1.1,7.6,0.2,1
Fernando,32,Defender,183,76,1260,0,1,7,0,0.3,87.6,0,2.9,1.9,1.9,1.3,0.2,2.5,0.9,0.4,0,0.3,0.4,0.9,0.1,0.3,0.8,51.7,0.0,3.6,0.1,0
Jesús Navas,34,Defender,172,60,1439,0,3,1,0,0.3,79.8,1,0.5,1.0,0.8,0.5,0.1,1.9,0.3,0.1,0,1.6,1.4,0.9,0.0,0.6,0.8,53.6,1.5,3.4,0.1,3
Diego Carlos,26,Defender,185,79,1425,1,0,3,0,0.6,83.0,1,2.4,1.3,0.6,1.4,0.7,5.1,0.3,0.6,0,0.2,0.3,0.3,0.0,0.1,0.2,48.6,0.1,4.4,0.0,4
Tomás Vaclik,30,GoalKeeper,188,85,1440,0,0,0,0,0.0,65.6,0,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.1,24.3,0.0,5.9,0.0,2
Marc Cucurella,21,Defender,172,66,1512,1,3,4,0,0.8,66.4,1,1.5,2.4,0.6,2.2,0.1,0.7,1.1,0.3,0,1.1,0.8,1.5,0.1,0.7,1.8,30.8,0.4,1.4,0.0,0
Mauro Arambarri,24,Defender,175,74,1350,1,1,5,0,1.2,70.4,0,2.2,2.0,1.3,2.1,0.1,1.0,1.0,0.2,0,0.1,1.1,2.0,0.0,0.9,1.3,26.3,0.1,2.9,0.0,0
Nemanja Maksimovic,24,Defender,189,78,1215,1,0,1,0,0.7,68.0,1,2.7,1.3,1.7,0.5,0.0,1.1,0.9,0.1,0,0.2,0.3,0.3,0.1,0.1,0.7,19.8,0.1,0.9,0.0,4
Leandro Cabrera,28,Defender,190,80,1262,1,0,3,0,0.3,51.5,0,3.1,0.6,1.1,0.9,1.5,3.5,0.1,0.3,0,0.1,0.1,0.5,0.1,0.2,0.3,31.1,0.1,6.1,0.1,4
Djené Dakonam,27,Defender,187,72,1350,0,0,2,0,0.2,68.4,0,2.3,1.1,0.6,1.5,1.3,3.3,0.2,0.2,0,0.2,0.3,0.9,0.1,0.2,0.6,30.6,0.0,3.5,0.0,4
